"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"L6","C15","-63,5mm","122,0216mm","-57,277mm","129,6416mm","-57,277mm","114,4016mm","T","0,00",""
"L7","T15","-15,875mm","130,6576mm","-10,668mm","126,8476mm","-10,668mm","126,8476mm","T","0,00",""
"R57","RES4","-246,126mm","119,8626mm","-251,206mm","119,8626mm","-251,206mm","119,8626mm","T","0,00",""
"C1","2u2/250V2","-113,792mm","120,3706mm","-113,792mm","109,1946mm","-113,792mm","109,1946mm","T","0,00",""
"U7","SM/OPTO","-245,745mm","32,8676mm","-247,015mm","29,0576mm","-247,015mm","29,0576mm","T","0,00",""
"U6","SM/OPTO","-236,855mm","32,8676mm","-238,125mm","29,0576mm","-238,125mm","29,0576mm","T","0,00",""
"U3","SM/OPTO","-227,838mm","32,8676mm","-229,108mm","29,0576mm","-229,108mm","29,0576mm","T","0,00",""
"UU1","SM/OPTO","-216,408mm","32,8676mm","-215,138mm","36,6776mm","-215,138mm","36,6776mm","T","0,00",""
"LD4","JUMP1","-286,639mm","23,7236mm","-286,639mm","22,4536mm","-286,639mm","24,9936mm","T","0,00",""
"LD5","JUMP1","-286,639mm","33,8836mm","-286,639mm","32,6136mm","-286,639mm","35,1536mm","T","0,00",""
"LD6","JUMP1","-286,639mm","43,9166mm","-286,639mm","42,6466mm","-286,639mm","45,1866mm","T","0,00",""
"CN2","A085","-270,51mm","99,2886mm","-276,86mm","99,2886mm","-276,86mm","99,2886mm","T","0,00",""
"","A235_FASTON","-59,7535mm","104,4956mm","-57,277mm","104,4956mm","-57,277mm","104,4956mm","T","0,00",""
"","A235_FASTON","-46,1645mm","104,6226mm","-48,641mm","104,6226mm","-48,641mm","104,6226mm","T","0,00",""
"J68","JUMP21","-15,24mm","49,1236mm","-17,145mm","49,1236mm","-13,335mm","49,1236mm","T","0,00",""
"J69","JUMP21","-17,145mm","66,7766mm","-19,05mm","66,7766mm","-15,24mm","66,7766mm","T","0,00",""
"J70","JUMP21","-17,145mm","73,3806mm","-19,05mm","73,3806mm","-15,24mm","73,3806mm","T","0,00",""
"D18","Diodo3A","-17,0307mm","66,7766mm","-13,462mm","66,7766mm","-20,5994mm","66,7766mm","T","0,00",""
"D17","Diodo3A","-17,0307mm","73,3806mm","-13,462mm","73,3806mm","-20,5994mm","73,3806mm","T","0,00",""
"D22","Diodo3A","-15,6083mm","56,1086mm","-19,177mm","56,1086mm","-12,0396mm","56,1086mm","T","0,00",""
"D21","Diodo3A","-15,6083mm","49,1236mm","-19,177mm","49,1236mm","-12,0396mm","49,1236mm","T","0,00",""
"DR7","SM/D/1N4007","-201,803mm","62,2046mm","-201,803mm","64,6176mm","-201,803mm","64,6176mm","T","0,00",""
"Q5","TO-220","-181,864mm","118,1481mm","-183,515mm","121,0056mm","-183,515mm","121,0056mm","T","0,00",""
"A1","FIDUCIAL","-290,703mm","7,9756mm","-290,703mm","7,9756mm","-290,703mm","7,9756mm","B","0,00",""
"TR4","E20-10P","-161,925mm","33,6296mm","-169,545mm","28,5496mm","-154,305mm","38,7096mm","T","0,00",""
"J11","JUMP1","-195,326mm","109,5756mm","-195,326mm","108,3056mm","-195,326mm","108,3056mm","T","0,00",""
"Q11","TO247","-182,626mm","77,9526mm","-182,626mm","72,8726mm","-182,626mm","72,8726mm","T","0,00",""
"P4","FURO","0mm","136,144mm","0mm","136,1186mm","0mm","136,144mm","T","0,00",""
"X4","FURO","-5,588mm","133,858mm","-5,588mm","133,8326mm","-5,588mm","133,858mm","T","0,00",""

